area_code,area_name,indicator,period,measure,unit,value,group
E08000009,Trafford,CO2 emissions,2005,CO2,kt,1151.9931647826265,Industrial and commercial
E08000009,Trafford,CO2 emissions,2006,CO2,kt,1170.8161080378547,Industrial and commercial
E08000009,Trafford,CO2 emissions,2007,CO2,kt,1114.5292825096426,Industrial and commercial
E08000009,Trafford,CO2 emissions,2008,CO2,kt,1116.5402380230898,Industrial and commercial
E08000009,Trafford,CO2 emissions,2009,CO2,kt,1055.4684663328692,Industrial and commercial
E08000009,Trafford,CO2 emissions,2010,CO2,kt,1150.2659289367907,Industrial and commercial
E08000009,Trafford,CO2 emissions,2011,CO2,kt,917.4173237789194,Industrial and commercial
E08000009,Trafford,CO2 emissions,2012,CO2,kt,1120.067188198783,Industrial and commercial
E08000009,Trafford,CO2 emissions,2013,CO2,kt,1085.7801398518488,Industrial and commercial
E08000009,Trafford,CO2 emissions,2014,CO2,kt,914.4054390747597,Industrial and commercial
E08000009,Trafford,CO2 emissions,2015,CO2,kt,857.7926060118149,Industrial and commercial
E08000009,Trafford,CO2 emissions,2016,CO2,kt,955.451929399874,Industrial and commercial
E08000009,Trafford,CO2 emissions,2005,CO2,kt,579.7307695079774,Domestic
E08000009,Trafford,CO2 emissions,2006,CO2,kt,582.7856250283055,Domestic
E08000009,Trafford,CO2 emissions,2007,CO2,kt,558.4870403210817,Domestic
E08000009,Trafford,CO2 emissions,2008,CO2,kt,559.0833163971778,Domestic
E08000009,Trafford,CO2 emissions,2009,CO2,kt,508.60215507596007,Domestic
E08000009,Trafford,CO2 emissions,2010,CO2,kt,542.229853317671,Domestic
E08000009,Trafford,CO2 emissions,2011,CO2,kt,471.4641979585227,Domestic
E08000009,Trafford,CO2 emissions,2012,CO2,kt,511.3845195510294,Domestic
E08000009,Trafford,CO2 emissions,2013,CO2,kt,501.2179547570847,Domestic
E08000009,Trafford,CO2 emissions,2014,CO2,kt,414.53497069104134,Domestic
E08000009,Trafford,CO2 emissions,2015,CO2,kt,401.94193904866756,Domestic
E08000009,Trafford,CO2 emissions,2016,CO2,kt,381.3796679651517,Domestic
E08000009,Trafford,CO2 emissions,2005,CO2,kt,405.06051320126846,Transport
E08000009,Trafford,CO2 emissions,2006,CO2,kt,391.33389439548915,Transport
E08000009,Trafford,CO2 emissions,2007,CO2,kt,391.21572688555347,Transport
E08000009,Trafford,CO2 emissions,2008,CO2,kt,375.74815924384916,Transport
E08000009,Trafford,CO2 emissions,2009,CO2,kt,363.24354469629014,Transport
E08000009,Trafford,CO2 emissions,2010,CO2,kt,359.56732924542104,Transport
E08000009,Trafford,CO2 emissions,2011,CO2,kt,354.2593523790284,Transport
E08000009,Trafford,CO2 emissions,2012,CO2,kt,352.2215232088345,Transport
E08000009,Trafford,CO2 emissions,2013,CO2,kt,346.89918400551096,Transport
E08000009,Trafford,CO2 emissions,2014,CO2,kt,351.73049756162374,Transport
E08000009,Trafford,CO2 emissions,2015,CO2,kt,347.1333320701443,Transport
E08000009,Trafford,CO2 emissions,2016,CO2,kt,346.8157451733177,Transport
E08000009,Trafford,CO2 emissions,2005,CO2,kt,2141.400790941723,Total
E08000009,Trafford,CO2 emissions,2006,CO2,kt,2149.4238536378502,Total
E08000009,Trafford,CO2 emissions,2007,CO2,kt,2068.4962434042523,Total
E08000009,Trafford,CO2 emissions,2008,CO2,kt,2055.5200088381416,Total
E08000009,Trafford,CO2 emissions,2009,CO2,kt,1931.3711480943855,Total
E08000009,Trafford,CO2 emissions,2010,CO2,kt,2055.9810909063863,Total
E08000009,Trafford,CO2 emissions,2011,CO2,kt,1746.9306065803748,Total
E08000009,Trafford,CO2 emissions,2012,CO2,kt,1987.3356522942104,Total
E08000009,Trafford,CO2 emissions,2013,CO2,kt,1937.4863289397715,Total
E08000009,Trafford,CO2 emissions,2014,CO2,kt,1684.1285888005575,Total
E08000009,Trafford,CO2 emissions,2015,CO2,kt,1610.2059195179381,Total
E08000009,Trafford,CO2 emissions,2016,CO2,kt,1686.9362887507161,Total
