area_code,area_name,period,value,indicator,measure,unit,significance
E47000001,Greater Manchester,2011,8.7,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2012,81.9,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2013,83.3,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2014,86,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2015,84.4,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2016,81.9,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2017,83.3,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E47000001,Greater Manchester,2018,89.2,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E92000001,England,2011,59,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E06000001,Hartlepool,2011,82,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000002,Middlesbrough,2011,105,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000003,Redcar and Cleveland,2011,53,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000004,Stockton-on-Tees,2011,69,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000005,Darlington,2011,86,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000006,Halton,2011,47,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000007,Warrington,2011,57,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000008,Blackburn with Darwen,2011,96,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000009,Blackpool,2011,136,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000010,Kingston upon Hull,2011,117,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000011,East Riding of Yorkshire,2011,47,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000012,North East Lincolnshire,2011,43,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000013,North Lincolnshire,2011,48,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000014,York,2011,67,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000015,Derby,2011,87,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000016,Leicester,2011,70,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000017,Rutland,2011,37,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000018,Nottingham,2011,92,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000019,Herefordshire,2011,57,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000020,Telford and Wrekin,2011,71,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000021,Stoke-on-Trent,2011,80,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000022,Bath and North East Somerset,2011,47,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000023,Bristol,2011,84,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000024,North Somerset,2011,53,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000025,South Gloucestershire,2011,38,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000026,Plymouth,2011,76,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000027,Torbay,2011,86,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000028,Bournemouth,2011,68,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000029,Poole,2011,47,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000030,Swindon,2011,53,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000031,Peterborough,2011,76,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000032,Luton,2011,78,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000033,Southend-on-Sea,2011,76,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000034,Thurrock,2011,57,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000035,Medway,2011,73,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000036,Bracknell Forest,2011,32,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000037,West Berkshire,2011,34,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000038,Reading,2011,69,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000039,Slough,2011,53,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000040,Windsor and Maidenhead,2011,31,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000041,Wokingham,2011,20,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000042,Milton Keynes,2011,46,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000043,Brighton and Hove,2011,103,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000044,Portsmouth,2011,82,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000045,Southampton,2011,89,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
E06000046,Isle of Wight,2011,67,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000047,County Durham,2011,52,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000049,Cheshire East,2011,59,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Similar
E06000050,Cheshire West and Chester,2011,51,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000051,Shropshire,2011,37,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000052,Cornwall,2011,45,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000053,Isles of Scilly,2011,NA,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Not compared
E06000054,Wiltshire,2011,38,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000055,Bedford,2011,46,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000056,Central Bedfordshire,2011,31,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E06000057,Northumberland,2011,44,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Better
E08000001,Bolton,2011,83,"Children in care: rate per 10,000 population aged < 18","per 10,000",Persons,Worse
