area_code,area_name,period,value,indicator,measure,unit,significance
E47000001,Greater Manchester,2016,6.9,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E47000001,Greater Manchester,2017,6.3,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E47000001,Greater Manchester,2018,6.1,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E92000001,England,2016,6,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Not compared
E06000001,Hartlepool,2016,4.8,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000002,Middlesbrough,2016,5.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000003,Redcar and Cleveland,2016,7.2,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000004,Stockton-on-Tees,2016,4.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000005,Darlington,2016,4.3,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000006,Halton,2016,5.2,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000007,Warrington,2016,2.3,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000008,Blackburn with Darwen,2016,6.1,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000009,Blackpool,2016,8.8,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000010,Kingston upon Hull,2016,5.5,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000011,East Riding of Yorkshire,2016,3.6,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000012,North East Lincolnshire,2016,6,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000013,North Lincolnshire,2016,5.6,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000014,York,2016,3.7,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000015,Derby,2016,8.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000016,Leicester,2016,6,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000017,Rutland,2016,5.2,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000018,Nottingham,2016,6.7,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000019,Herefordshire,2016,6.5,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000020,Telford and Wrekin,2016,9.2,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000021,Stoke-on-Trent,2016,4.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000022,Bath and North East Somerset,2016,7.3,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000023,Bristol,2016,7.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000024,North Somerset,2016,3.5,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000025,South Gloucestershire,2016,5.8,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000026,Plymouth,2016,5.7,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000027,Torbay,2016,6.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000028,Bournemouth,2016,5.7,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000029,Poole,2016,3,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000030,Swindon,2016,6.1,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000031,Peterborough,2016,6.6,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000032,Luton,2016,7.7,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000033,Southend-on-Sea,2016,9,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000034,Thurrock,2016,2.5,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000035,Medway,2016,9.8,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
E06000036,Bracknell Forest,2016,5.2,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000037,West Berkshire,2016,2.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000038,Reading,2016,5.4,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Similar
E06000039,Slough,2016,3.7,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Better
E06000040,Windsor and Maidenhead,2016,44.8,"Proportion of 16-17 year olds not in education, employment or training (NEET)",Percentage,Persons,Worse
