area_code,area_name,period,value,indicator,measure,unit,significance
E47000001,Greater Manchester,2012/13,33.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Not compared
E47000001,Greater Manchester,2013/14,40.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Not compared
E47000001,Greater Manchester,2014/15,47.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Not compared
E47000001,Greater Manchester,2015/16,52.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E47000001,Greater Manchester,2016/17,54.6,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E47000001,Greater Manchester,2017/18,55.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E92000001,England,2012/13,36.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Not compared
E06000001,Hartlepool,2012/13,30.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000002,Middlesbrough,2012/13,28.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000003,Redcar and Cleveland,2012/13,33.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000004,Stockton-on-Tees,2012/13,22.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000005,Darlington,2012/13,35.6,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000006,Halton,2012/13,24.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000007,Warrington,2012/13,17.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000008,Blackburn with Darwen,2012/13,31.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000009,Blackpool,2012/13,40.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000010,Kingston upon Hull,2012/13,34.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000011,East Riding of Yorkshire,2012/13,33.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000012,North East Lincolnshire,2012/13,41.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000013,North Lincolnshire,2012/13,35.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000014,York,2012/13,31.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000015,Derby,2012/13,27.6,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000016,Leicester,2012/13,20.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000017,Rutland,2012/13,25,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000018,Nottingham,2012/13,27.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000019,Herefordshire,2012/13,34.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000020,Telford and Wrekin,2012/13,30.6,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000021,Stoke-on-Trent,2012/13,41.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000022,Bath and North East Somerset,2012/13,28.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000023,Bristol,2012/13,33.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000024,North Somerset,2012/13,39.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000025,South Gloucestershire,2012/13,47.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000026,Plymouth,2012/13,42.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000027,Torbay,2012/13,NA,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Not compared
E06000028,Bournemouth,2012/13,42.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000029,Poole,2012/13,29.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000030,Swindon,2012/13,37.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000031,Peterborough,2012/13,34.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000032,Luton,2012/13,39.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000033,Southend-on-Sea,2012/13,26,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000034,Thurrock,2012/13,41.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000035,Medway,2012/13,41.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000036,Bracknell Forest,2012/13,34.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000037,West Berkshire,2012/13,40.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000038,Reading,2012/13,40.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000039,Slough,2012/13,38.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000040,Windsor and Maidenhead,2012/13,35.1,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000041,Wokingham,2012/13,25.6,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000042,Milton Keynes,2012/13,31.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000043,Brighton and Hove,2012/13,26.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000044,Portsmouth,2012/13,45.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E06000045,Southampton,2012/13,37.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000046,Isle of Wight,2012/13,33.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000047,County Durham,2012/13,26.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000049,Cheshire East,2012/13,35.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000050,Cheshire West and Chester,2012/13,31,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000051,Shropshire,2012/13,35.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000052,Cornwall,2012/13,33,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000053,Isles of Scilly,2012/13,NA,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Not compared
E06000054,Wiltshire,2012/13,29.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000055,Bedford,2012/13,32.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E06000056,Central Bedfordshire,2012/13,28.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E06000057,Northumberland,2012/13,29.8,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000001,Bolton,2012/13,32.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000002,Bury,2012/13,31.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000003,Manchester,2012/13,39.3,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E08000004,Oldham,2012/13,27.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000005,Rochdale,2012/13,28.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000006,Salford,2012/13,41.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E08000007,Stockport,2012/13,33.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E08000008,Tameside,2012/13,28.2,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000009,Trafford,2012/13,39.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E08000010,Wigan,2012/13,19.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000011,Knowsley,2012/13,44.4,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E08000012,Liverpool,2012/13,36.6,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E08000013,St. Helens,2012/13,42.5,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Better
E08000014,Sefton,2012/13,31.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000015,Wirral,2012/13,27.7,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
E08000016,Barnsley,2012/13,32.9,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Similar
E08000017,Doncaster,2012/13,29,Children with free school meal status achieving a good level of development at the end of reception,Percentage,Persons,Worse
