area_code,area_name,period,value,indicator,measure,unit,significance
E47000001,Greater Manchester,2017,77.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E47000001,Greater Manchester,2018,76.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E92000001,England,2017,67.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Not compared
E06000001,Hartlepool,2017,80.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000002,Middlesbrough,2017,81,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000003,Redcar and Cleveland,2017,73.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000004,Stockton-on-Tees,2017,90.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000005,Darlington,2017,79.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000006,Halton,2017,76.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000007,Warrington,2017,70.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000008,Blackburn with Darwen,2017,69.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000009,Blackpool,2017,78.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000010,Kingston upon Hull,2017,76.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000011,East Riding of Yorkshire,2017,64,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000012,North East Lincolnshire,2017,70.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000013,North Lincolnshire,2017,60.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000014,York,2017,60.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000015,Derby,2017,77.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000016,Leicester,2017,86.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000017,Rutland,2017,61.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000018,Nottingham,2017,83.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000019,Herefordshire,2017,59.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000020,Telford and Wrekin,2017,62.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000021,Stoke-on-Trent,2017,84,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000022,Bath and North East Somerset,2017,59.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000023,Bristol,2017,72.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000024,North Somerset,2017,64.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000025,South Gloucestershire,2017,62.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000026,Plymouth,2017,58.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000027,Torbay,2017,63.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000030,Swindon,2017,64,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000031,Peterborough,2017,78.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E06000032,Luton,2017,66.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000033,Southend-on-Sea,2017,72.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000034,Thurrock,2017,63.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000035,Medway,2017,53.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000036,Bracknell Forest,2017,59.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000037,West Berkshire,2017,56.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000038,Reading,2017,68.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000039,Slough,2017,64.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000040,Windsor and Maidenhead,2017,71.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000041,Wokingham,2017,66.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000042,Milton Keynes,2017,67.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000043,Brighton and Hove,2017,64,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000044,Portsmouth,2017,71.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000045,Southampton,2017,66.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000046,Isle of Wight,2017,72.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000047,County Durham,2017,75.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000049,Cheshire East,2017,71.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000050,Cheshire West and Chester,2017,65,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000051,Shropshire,2017,70.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000052,Cornwall,2017,56.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000053,Isles of Scilly,2017,46.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000054,Wiltshire,2017,66.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000055,Bedford,2017,62.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E06000056,Central Bedfordshire,2017,58.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E06000057,Northumberland,2017,68.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000004,Aylesbury Vale,2017,72.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000005,Chiltern,2017,66.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000006,South Bucks,2017,67.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000007,Wycombe,2017,63.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000008,Cambridge,2017,67.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000009,East Cambridgeshire,2017,58,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000010,Fenland,2017,60.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000011,Huntingdonshire,2017,69.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000012,South Cambridgeshire,2017,54.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000026,Allerdale,2017,62.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000027,Barrow-in-Furness,2017,76.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000028,Carlisle,2017,70,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000029,Copeland,2017,73.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000030,Eden,2017,55.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000031,South Lakeland,2017,67.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000032,Amber Valley,2017,68.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000033,Bolsover,2017,78,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000034,Chesterfield,2017,72.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000035,Derbyshire Dales,2017,60.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000036,Erewash,2017,86.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000037,High Peak,2017,73.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000038,North East Derbyshire,2017,73.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000039,South Derbyshire,2017,73.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000040,East Devon,2017,63.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000041,Exeter,2017,70,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000042,Mid Devon,2017,50.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000043,North Devon,2017,60.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000044,South Hams,2017,47.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000045,Teignbridge,2017,65.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000046,Torridge,2017,57.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000047,West Devon,2017,57.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000048,Christchurch,2017,54.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000049,East Dorset,2017,55.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000050,North Dorset,2017,51.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000051,Purbeck,2017,64.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000052,West Dorset,2017,51.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000053,Weymouth and Portland,2017,66.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000061,Eastbourne,2017,72.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000062,Hastings,2017,74.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000063,Lewes,2017,64.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000064,Rother,2017,59.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000065,Wealden,2017,64.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000066,Basildon,2017,58.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000067,Braintree,2017,64.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000068,Brentwood,2017,67,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000069,Castle Point,2017,51.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000070,Chelmsford,2017,63.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000071,Colchester,2017,59.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000072,Epping Forest,2017,78.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000073,Harlow,2017,58,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000074,Maldon,2017,51.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000075,Rochford,2017,60.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000076,Tendring,2017,52.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000077,Uttlesford,2017,62.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000078,Cheltenham,2017,73.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000079,Cotswold,2017,58.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000080,Forest of Dean,2017,62.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000081,Gloucester,2017,72.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000082,Stroud,2017,71.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000083,Tewkesbury,2017,65.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000084,Basingstoke and Deane,2017,64.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000085,East Hampshire,2017,64.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000086,Eastleigh,2017,62.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000087,Fareham,2017,62.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000088,Gosport,2017,49.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000089,Hart,2017,67.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000090,Havant,2017,60.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000091,New Forest,2017,64.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000092,Rushmoor,2017,72,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000093,Test Valley,2017,59.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000094,Winchester,2017,58.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000095,Broxbourne,2017,52.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000096,Dacorum,2017,61.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000098,Hertsmere,2017,65.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000099,North Hertfordshire,2017,72.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000102,Three Rivers,2017,75.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000103,Watford,2017,81.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000105,Ashford,2017,64.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000106,Canterbury,2017,73.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000107,Dartford,2017,73.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000108,Dover,2017,67.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000109,Gravesham,2017,52,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000110,Maidstone,2017,67.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000111,Sevenoaks,2017,57.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000112,Folkestone & Hythe,2017,61.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000113,Swale,2017,68.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000114,Thanet,2017,63.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000115,Tonbridge and Malling,2017,52.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000116,Tunbridge Wells,2017,63,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000117,Burnley,2017,77.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000118,Chorley,2017,73.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000119,Fylde,2017,74.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000120,Hyndburn,2017,74.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000121,Lancaster,2017,86.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000122,Pendle,2017,72.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000123,Preston,2017,71.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000124,Ribble Valley,2017,59.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000125,Rossendale,2017,73,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000126,South Ribble,2017,58.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000127,West Lancashire,2017,72.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000128,Wyre,2017,71.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000129,Blaby,2017,65.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000130,Charnwood,2017,72.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000131,Harborough,2017,66.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000132,Hinckley and Bosworth,2017,69.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000133,Melton,2017,62,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000134,North West Leicestershire,2017,68.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000135,Oadby and Wigston,2017,72.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000136,Boston,2017,64.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000137,East Lindsey,2017,62.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000138,Lincoln,2017,75.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000139,North Kesteven,2017,56,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000140,South Holland,2017,65,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000141,South Kesteven,2017,59.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000142,West Lindsey,2017,67.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000143,Breckland,2017,71.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000144,Broadland,2017,65.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000145,Great Yarmouth,2017,63.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000146,King's Lynn and West Norfolk,2017,64.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000147,North Norfolk,2017,57.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000148,Norwich,2017,64.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000149,South Norfolk,2017,53.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000150,Corby,2017,85.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000151,Daventry,2017,63,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000152,East Northamptonshire,2017,68.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000153,Kettering,2017,71.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000154,Northampton,2017,71.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000155,South Northamptonshire,2017,55.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000156,Wellingborough,2017,65.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000163,Craven,2017,72.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000164,Hambleton,2017,56.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000165,Harrogate,2017,78.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000166,Richmondshire,2017,68.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000167,Ryedale,2017,48.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000168,Scarborough,2017,60.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000169,Selby,2017,66,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000170,Ashfield,2017,77.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000171,Bassetlaw,2017,80.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000172,Broxtowe,2017,84.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000173,Gedling,2017,69.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000174,Mansfield,2017,76,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000175,Newark and Sherwood,2017,65.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000176,Rushcliffe,2017,75.2,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000177,Cherwell,2017,64.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000178,Oxford,2017,68.7,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000179,South Oxfordshire,2017,68.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000180,Vale of White Horse,2017,62.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000181,West Oxfordshire,2017,69.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000187,Mendip,2017,64.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000188,Sedgemoor,2017,64.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000189,South Somerset,2017,62.4,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000190,Taunton Deane,2017,63.3,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000191,West Somerset,2017,45.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Worse
E07000192,Cannock Chase,2017,67.9,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000193,East Staffordshire,2017,64.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000194,Lichfield,2017,63.6,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000195,Newcastle-under-Lyme,2017,81.5,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Better
E07000196,South Staffordshire,2017,64.8,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
E07000197,Stafford,2017,68.1,Estimated dementia diagnosis rate (aged 65 and over),Proportion,Persons,Similar
