area_code,area_name,period,value,indicator,measure,unit,group
E22000107,Trafford,2008/09,10.513134160712443,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2008/09,2.0765282861479069,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2008/09,0.83353297074360722,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2008/09,2.0595932315555068,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2008/09,4.9166022156250779,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2008/09,0.19034250358316487,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2008/09,0.43653495305718404,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2009/10,9.748198772275245,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2009/10,1.9923858441136326,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2009/10,0.73561007178343896,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2009/10,1.7082761610637192,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2009/10,4.5132396388028519,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2009/10,0.21917365006190456,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2009/10,0.57951340644969673,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2010/11,7.3844121952914081,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2010/11,1.3003627392820984,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2010/11,0.64873473643700363,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2010/11,1.2367335092007241,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2010/11,3.4836621965681713,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2010/11,0.18700296835020294,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2010/11,0.52791604545321091,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2011/12,5.9789397319595388,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2011/12,1.1184772590246534,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2011/12,0.67964883041208357,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2011/12,0.77039640924651909,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2011/12,2.8213060395653882,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2011/12,0.10703822044952163,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2011/12,0.48207297326137072,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2012/13,6.0723514405285579,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2012/13,1.0070540839222648,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2012/13,1.0281920907170115,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2012/13,0.56338921065580005,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2012/13,2.9619263430247744,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2012/13,0.086411198850436077,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2012/13,0.42537851335827032,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2013/14,6.3869112364687251,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2013/14,0.94068361413706569,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2013/14,1.0907312872484576,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2013/14,0.54987881557519602,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2013/14,3.220285368181218,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2013/14,0.064951866823138971,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2013/14,0.52038028450364859,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2014/15,7.4299475936456183,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2014/15,1.4035820161453709,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2014/15,1.6979015201093184,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2014/15,0.57328288820224416,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2014/15,3.3197652818678205,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2014/15,0.10792273821029254,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2014/15,0.32749314911057165,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2015/16,7.8774842402763321,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2015/16,1.747168861499983,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2015/16,1.9478173420395783,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2015/16,0.76066951183999754,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2015/16,2.9666701618825266,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2015/16,0.12473180562849898,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2015/16,0.33042655738574639,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2016/17,8.4260335973387868,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2016/17,2.0859475407510621,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2016/17,1.9911625096782919,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2016/17,0.75166315089899527,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2016/17,3.0831845347863158,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2016/17,0.12456426640596965,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2016/17,0.38951159481814873,Crime Severity Score,Score,Offences,Other crimes against society
E22000107,Trafford,2017/18,12.668153993748964,Crime Severity Score,Score,Offences,Total recorded crime
E22000107,Trafford,2017/18,2.7055040935269252,Crime Severity Score,Score,Offences,Violence against the person
E22000107,Trafford,2017/18,3.7006155446072984,Crime Severity Score,Score,Offences,Sexual offences
E22000107,Trafford,2017/18,1.5022275005416073,Crime Severity Score,Score,Offences,Robbery
E22000107,Trafford,2017/18,3.9688636242872035,Crime Severity Score,Score,Offences,Theft offences
E22000107,Trafford,2017/18,0.15818397047308005,Crime Severity Score,Score,Offences,Criminal damage and arson
E22000107,Trafford,2017/18,0.63275926031285012,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2008/09,9.8794969753982187,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2008/09,14.699130478235011,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2008/09,2.2540871082024205,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2008/09,3.1541303927255067,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2008/09,1.1458882310197982,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2008/09,1.4451153866380575,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2008/09,1.2145914291316382,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2008/09,2.1739924044984607,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2008/09,4.4413203275986195,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2008/09,6.822140430117563,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2008/09,0.24855570103977395,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2008/09,0.38607651716798486,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2008/09,0.57505417840596618,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2008/09,0.71767534708743885,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2009/10,9.4592877496722263,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2009/10,13.114128275155373,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2009/10,2.1785186405475052,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2009/10,2.9112215769608096,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2009/10,1.2698533177070357,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2009/10,1.4387423113673614,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2009/10,1.1329188047971228,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2009/10,1.820829425188937,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2009/10,4.0763601113765411,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2009/10,5.8212251443190208,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2009/10,0.22646227011356668,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2009/10,0.33599481020185579,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2009/10,0.57517460513045082,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2009/10,0.78611500711738824,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2010/11,9.0768976514514232,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2010/11,11.767953391454746,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2010/11,1.945403879721836,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2010/11,2.4551772235021789,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2010/11,1.3143062130456189,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2010/11,1.442403320888954,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2010/11,1.1423995943709482,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2010/11,1.4769837225493738,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2010/11,3.9309442184763661,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2010/11,5.2939386550902059,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2010/11,0.20098005277758096,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2010/11,0.29574131741897314,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2010/11,0.54286369305907989,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2010/11,0.80370915200506332,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2011/12,8.6064842962011436,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2011/12,10.310249419054598,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2011/12,1.7597341684895698,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2011/12,2.1285024515279063,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2011/12,1.2922923826367001,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2011/12,1.3122890404895309,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2011/12,1.1130029849003045,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2011/12,1.261398267628296,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2011/12,3.7513890111900952,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2011/12,4.5876543978102235,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2011/12,0.18449728854790295,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2011/12,0.25123315924997924,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2011/12,0.50556846043656933,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2011/12,0.76917210234865718,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2012/13,8.1769529789516966,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2012/13,9.9622948146989057,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2012/13,1.8751460628020173,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2012/13,2.1170435381402917,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2012/13,1.3041372192019882,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2012/13,1.5116792212172736,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2012/13,0.96195467058973883,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2012/13,1.1830424011407139,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2012/13,3.4290726622075236,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2012/13,4.2984729364269105,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2012/13,0.14173040690406546,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2012/13,0.19608916937163201,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2012/13,0.46491195724636419,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2012/13,0.6559675484020806,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2013/14,8.2851633174936836,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2013/14,10.212843364404069,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2013/14,1.9717372754225728,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2013/14,2.1414271466792862,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2013/14,1.6237674089316485,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2013/14,1.7011952995722253,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2013/14,0.8477956547775618,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2013/14,1.1541347116794614,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2013/14,3.2359483065756454,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2013/14,4.3935150526088034,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2013/14,0.13621227987342974,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2013/14,0.19527316208105291,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2013/14,0.46970239191282659,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2013/14,0.6272979917832423,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2014/15,8.9357737239843118,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2014/15,11.93621003490008,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2014/15,2.2989080665780794,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2014/15,2.9437273831898332,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2014/15,2.286241794967717,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2014/15,2.7259806192094809,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2014/15,0.72919287077072226,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2014/15,1.0416852975591842,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2014/15,3.0026883595815037,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2014/15,4.3646856075299221,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2014/15,0.14037302463207205,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2014/15,0.21543558085778464,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2014/15,0.47836960745421719,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2014/15,0.64469554655387562,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2015/16,9.8836955525323873,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2015/16,13.105074088651495,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2015/16,2.7117801320378936,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2015/16,3.4458872544629369,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2015/16,2.7607774528263009,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2015/16,3.1749951399759695,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2015/16,0.73667010465163907,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2015/16,1.0327342015126013,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2015/16,3.0132475686858848,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2015/16,4.5359910382752684,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2015/16,0.15521888389909527,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2015/16,0.23815839859141957,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2015/16,0.50600141043157387,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2015/16,0.67730805583329123,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2016/17,10.965431416474374,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2016/17,14.881451597704814,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2016/17,3.0399761709649651,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2016/17,3.9500574875319265,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2016/17,3.1517458907150879,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2016/17,3.5697380527881668,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2016/17,0.84999285525511714,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2016/17,1.3643547084922532,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2016/17,3.1984839644150549,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2016/17,4.9589066113357037,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2016/17,0.16582297662149192,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2016/17,0.26986584780119804,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2016/17,0.55940955850265595,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2016/17,0.76852888975556255,Crime Severity Score,Score,Offences,Other crimes against society
E92000001,England,2017/18,13.344383656612846,Crime Severity Score,Score,Offences,Total recorded crime
E23000005,Greater Manchester,2017/18,20.785808300951921,Crime Severity Score,Score,Offences,Total recorded crime
E92000001,England,2017/18,3.4755275851056635,Crime Severity Score,Score,Offences,Violence against the person
E23000005,Greater Manchester,2017/18,5.8501046611958945,Crime Severity Score,Score,Offences,Violence against the person
E92000001,England,2017/18,3.9806356747714591,Crime Severity Score,Score,Offences,Sexual offences
E23000005,Greater Manchester,2017/18,5.5062953156180932,Crime Severity Score,Score,Offences,Sexual offences
E92000001,England,2017/18,1.0933032126474005,Crime Severity Score,Score,Offences,Robbery
E23000005,Greater Manchester,2017/18,1.9964526043234154,Crime Severity Score,Score,Offences,Robbery
E92000001,England,2017/18,3.9687030904304992,Crime Severity Score,Score,Offences,Theft offences
E23000005,Greater Manchester,2017/18,5.8810396052672589,Crime Severity Score,Score,Offences,Theft offences
E92000001,England,2017/18,0.18083385877418093,Crime Severity Score,Score,Offences,Criminal damage and arson
E23000005,Greater Manchester,2017/18,0.34189214883519514,Crime Severity Score,Score,Offences,Criminal damage and arson
E92000001,England,2017/18,0.6453802348836466,Crime Severity Score,Score,Offences,Other crimes against society
E23000005,Greater Manchester,2017/18,1.2100239657120646,Crime Severity Score,Score,Offences,Other crimes against society
