area_code,area_name,period,indicator,measure,unit,value,group
E08000001,Bolton,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.8768536428110897,Environmental Health
E08000001,Bolton,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,1.4442295293359122,Other
E08000001,Bolton,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.05157962604771116,Public Space
E08000001,Bolton,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.8768536428110897,Road Safety & Defects
E08000001,Bolton,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.20631850419084463,Abandoned Vehicles & Parking
E08000002,Bury,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.30120255118560857,Environmental Health
E08000002,Bury,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.45180382677841285,Other
E08000002,Bury,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.07530063779640214,Public Space
E08000002,Bury,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.527104464574815,Road Safety & Defects
E08000002,Bury,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.15060127559280428,Abandoned Vehicles & Parking
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.056034651828690864,Environmental Disruptions
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.7564677996873267,Environmental Health
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.22413860731476346,Incivilities
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.5883638442012541,Other
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.028017325914345432,Public Space
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.5043118664582178,Road Safety & Defects
E08000003,Manchester,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.0840519777430363,Abandoned Vehicles & Parking
E08000004,Oldham,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.1916186023339146,Environmental Health
E08000004,Oldham,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.06387286744463819,Incivilities
E08000004,Oldham,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.1916186023339146,Other
E08000004,Oldham,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.25549146977855275,Road Safety & Defects
E08000004,Oldham,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.12774573488927637,Abandoned Vehicles & Parking
E08000005,Rochdale,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.13364517206815904,Environmental Disruptions
E08000005,Rochdale,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.5345806882726362,Environmental Health
E08000005,Rochdale,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.06682258603407952,Other
E08000005,Rochdale,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.2672903441363181,Road Safety & Defects
E08000005,Rochdale,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.3341129301703976,Abandoned Vehicles & Parking
E08000006,Salford,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.12116071969467498,Environmental Disruptions
E08000006,Salford,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.72696431816805,Environmental Health
E08000006,Salford,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.06058035984733749,Incivilities
E08000006,Salford,2007,Neighbourhood environmental problems reported to fixmystreet.com,"Rate per 100,000 population",Reports,0.605803598473375,Other
