area_code,area_name,period,indicator,measure,unit,value,group
E08000009,Trafford,1998,Gross Value Added,Value,£,231,"Agriculture, mining and utilities"
E08000009,Trafford,1998,Gross Value Added,Value,£,571,Manufacturing
E08000009,Trafford,1998,Gross Value Added,Value,£,278,Construction
E08000009,Trafford,1998,Gross Value Added,Value,£,859,"Distribution, transport, accommodation and food"
E08000009,Trafford,1998,Gross Value Added,Value,£,236,Information and communication
E08000009,Trafford,1998,Gross Value Added,Value,£,152,Finance
E08000009,Trafford,1998,Gross Value Added,Value,£,705,Real estate
E08000009,Trafford,1998,Gross Value Added,Value,£,493,Professional and business support services
E08000009,Trafford,1998,Gross Value Added,Value,£,452,Public services
E08000009,Trafford,1998,Gross Value Added,Value,£,114,Recreation and other services
E08000009,Trafford,1998,Gross Value Added,Value,£,4093,All industries
E08000009,Trafford,1999,Gross Value Added,Value,£,235,"Agriculture, mining and utilities"
E08000009,Trafford,1999,Gross Value Added,Value,£,598,Manufacturing
E08000009,Trafford,1999,Gross Value Added,Value,£,257,Construction
E08000009,Trafford,1999,Gross Value Added,Value,£,866,"Distribution, transport, accommodation and food"
E08000009,Trafford,1999,Gross Value Added,Value,£,288,Information and communication
E08000009,Trafford,1999,Gross Value Added,Value,£,157,Finance
E08000009,Trafford,1999,Gross Value Added,Value,£,742,Real estate
E08000009,Trafford,1999,Gross Value Added,Value,£,548,Professional and business support services
E08000009,Trafford,1999,Gross Value Added,Value,£,484,Public services
E08000009,Trafford,1999,Gross Value Added,Value,£,128,Recreation and other services
E08000009,Trafford,1999,Gross Value Added,Value,£,4302,All industries
E08000009,Trafford,2000,Gross Value Added,Value,£,203,"Agriculture, mining and utilities"
E08000009,Trafford,2000,Gross Value Added,Value,£,633,Manufacturing
E08000009,Trafford,2000,Gross Value Added,Value,£,287,Construction
E08000009,Trafford,2000,Gross Value Added,Value,£,890,"Distribution, transport, accommodation and food"
E08000009,Trafford,2000,Gross Value Added,Value,£,300,Information and communication
E08000009,Trafford,2000,Gross Value Added,Value,£,151,Finance
E08000009,Trafford,2000,Gross Value Added,Value,£,777,Real estate
E08000009,Trafford,2000,Gross Value Added,Value,£,578,Professional and business support services
E08000009,Trafford,2000,Gross Value Added,Value,£,498,Public services
E08000009,Trafford,2000,Gross Value Added,Value,£,148,Recreation and other services
E08000009,Trafford,2000,Gross Value Added,Value,£,4465,All industries
E08000009,Trafford,2001,Gross Value Added,Value,£,188,"Agriculture, mining and utilities"
E08000009,Trafford,2001,Gross Value Added,Value,£,601,Manufacturing
E08000009,Trafford,2001,Gross Value Added,Value,£,304,Construction
E08000009,Trafford,2001,Gross Value Added,Value,£,943,"Distribution, transport, accommodation and food"
E08000009,Trafford,2001,Gross Value Added,Value,£,270,Information and communication
E08000009,Trafford,2001,Gross Value Added,Value,£,168,Finance
E08000009,Trafford,2001,Gross Value Added,Value,£,862,Real estate
E08000009,Trafford,2001,Gross Value Added,Value,£,723,Professional and business support services
E08000009,Trafford,2001,Gross Value Added,Value,£,552,Public services
E08000009,Trafford,2001,Gross Value Added,Value,£,163,Recreation and other services
E08000009,Trafford,2001,Gross Value Added,Value,£,4774,All industries
