area_code,area_name,indicator,period,measure,unit,value,group
E11000001,Greater Manchester,Claimant count,2013-01-01,Count,Persons,85210,Claimant count
E08000009,Trafford,Claimant count,2013-01-01,Count,Persons,4620,Claimant count
E11000001,Greater Manchester,Claimant count,2013-02-01,Count,Persons,86625,Claimant count
E08000009,Trafford,Claimant count,2013-02-01,Count,Persons,4750,Claimant count
E11000001,Greater Manchester,Claimant count,2013-03-01,Count,Persons,85465,Claimant count
E08000009,Trafford,Claimant count,2013-03-01,Count,Persons,4645,Claimant count
E11000001,Greater Manchester,Claimant count,2013-04-01,Count,Persons,83955,Claimant count
E08000009,Trafford,Claimant count,2013-04-01,Count,Persons,4460,Claimant count
E11000001,Greater Manchester,Claimant count,2013-05-01,Count,Persons,82445,Claimant count
E08000009,Trafford,Claimant count,2013-05-01,Count,Persons,4370,Claimant count
E11000001,Greater Manchester,Claimant count,2013-06-01,Count,Persons,79395,Claimant count
E08000009,Trafford,Claimant count,2013-06-01,Count,Persons,4200,Claimant count
E11000001,Greater Manchester,Claimant count,2013-07-01,Count,Persons,78940,Claimant count
E08000009,Trafford,Claimant count,2013-07-01,Count,Persons,4215,Claimant count
E11000001,Greater Manchester,Claimant count,2013-08-01,Count,Persons,77310,Claimant count
E08000009,Trafford,Claimant count,2013-08-01,Count,Persons,4090,Claimant count
E11000001,Greater Manchester,Claimant count,2013-09-01,Count,Persons,73630,Claimant count
E08000009,Trafford,Claimant count,2013-09-01,Count,Persons,3955,Claimant count
E11000001,Greater Manchester,Claimant count,2013-10-01,Count,Persons,70700,Claimant count
E08000009,Trafford,Claimant count,2013-10-01,Count,Persons,3795,Claimant count
E11000001,Greater Manchester,Claimant count,2013-11-01,Count,Persons,67095,Claimant count
E08000009,Trafford,Claimant count,2013-11-01,Count,Persons,3590,Claimant count
E11000001,Greater Manchester,Claimant count,2013-12-01,Count,Persons,65025,Claimant count
E08000009,Trafford,Claimant count,2013-12-01,Count,Persons,3405,Claimant count
E11000001,Greater Manchester,Claimant count,2014-01-01,Count,Persons,67050,Claimant count
E08000009,Trafford,Claimant count,2014-01-01,Count,Persons,3530,Claimant count
E11000001,Greater Manchester,Claimant count,2014-02-01,Count,Persons,66830,Claimant count
